,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,text,label
251,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kelsier burned tin.,True
255,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The tin flared to life within him, burning his stomach like the sensation of a hot drink swallowed too quickly.",True
271,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Burning tin, Kelsier was able to judge the direction accurately.",True
1033,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kelsier smiled; then—burning zinc—he reached out and yanked firmly on the Inquisitor’s emotions.,True
1335,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“This crew already has the eye of the Steel Ministry—do not make an enemy of me as well.”
Milev nodded sharply, then disappeared into the stairwell, pulling the door closed behind him.",True
1796,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“I burn pewter,” Ham said.",True
2187,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The Steel Ministry wants you to believe that he’s immortal, but even he can be killed—by an Allomancer burning this.”
Ham reached out, picking up the thin bar of metal.",True
2375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,"They’re certain to have some atium.” He pulled open the pack, then whipped out a dark gray cloak.",True
2408,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He burned steel, second of the basic Allomantic metals.",True
2413,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Burning iron or steel would point blue lines at all kinds of metal, assuming they were close enough and large enough to be noticeable.",True
2415,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Burning steel, he Pushed against the coin.",True
2421,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He burned tin, and felt it flare to life in his chest, enhancing his senses.",True
2426,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier left his tin on—it burned slowly, and he probably didn’t need to worry about running out.",True
2436,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Steelpushing and Ironpulling were the first things that Gemmel had taught him.,True
2441,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He often wished that burning tin didn’t enhance all of the senses—or, at least, not all of them at once.",True
2443,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"However, burning tin made the night seem even more chilly to his overly sensitive skin, and his feet registered every pebble and wooden ripple they touched.",True
2451,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier burned iron, flaring it strong and searching the night for large sources of metal.",True
2465,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier flared his iron, took a deep breath, and Pulled on the line.",True
2467,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier continued to burn iron, pulling himself toward the keep at a tremendous speed.",True
2477,-1,-1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Taking a deep breath, Kelsier burned pewter, using it to enhance his physical strength much in the same way that tin enhanced his senses.",True
2487,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier was upon the man in a second, jumping into the air, Pulling slightly on the guard’s steel breastplate and throwing the man off balance.",True
2488,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier whipped out one of his glass daggers, allowing the strength of his Ironpull to bring him toward the guard.",True
2509,-1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Burning pewter to strengthen his body, he reached out and fiercely Steelpushed against both men at the same time.",True
2525,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier replaced his knives, burning steel and searching for sources of metal.",True
2534,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He simply burned steel, reaching in and tugging against the weak source of metal that he assumed was the trapdoor’s locking mechanism.",True
2535,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"It resisted at first, pulling him against the wall, but he burned pewter and yanked harder.",True
2539,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He jumped up, Ironpulling against the safe, and landed with his feet against the wall, one foot on either side of the open panel.",True
2540,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He continued to Pull, holding himself in place, and flared his pewter.",True
2541,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Strength flooded his legs, and he flared his steel as well, Pulling against the safe.",True
2548,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier fell backward, burning steel and Pushing against the safe to get out of the way.",True
2568,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He flared his pewter, strengthening his body, then squatted down and lifted the safe.",True
2585,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier flared his pewter, letting strengthened legs carry him back in a powerful jump.",True
2598,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Gritting his teeth, Kelsier flared his pewter again; it was running low, he noticed.",True
2599,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Pewter was the fastest-burning of the basic eight metals.,True
2612,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The hazekiller cried out, the force of the intense Steelpush throwing him backward.",True
2613,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier flared his steel, Pushing so hard that he tossed himself backward as well—away from the pair of men who tried to attack him.",True
2628,-1,-1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He downed its contents in a single gulp, replenishing his pewter, then burned tin.",True
2631,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier whipped his hand to the side, burning iron and searching for metal.",True
2635,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kelsier burned steel with a flash of strength.,True
2640,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He burned iron, Pulling the ingot back toward him.",True
2645,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier heard the ingot hit the ground behind him, and he reached up—burning pewter—and caught the hazekiller’s cane mid-swing.",True
2650,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier flared pewter, steadying himself against attacks.",True
2652,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He stumbled to his knees as the wood cracked, but flared tin kept him conscious.",True
2657,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Instead, he burned iron, wrenching the ingot back toward himself.",True
2660,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier spun, burning iron then steel to send the ingot soaring toward the final two men.",True
2662,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The men regarded it warily, distracted as Kelsier ran and jumped, Steelpushing himself against the ingot and flipping over the men’s heads.",True
2678,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He flared steel, Pushing the coins out of the way.",True
2682,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Thugs—Mistings who, like Ham, could burn pewter.",True
2693,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He smiled, extinguishing his iron and pushing away from the building with his legs, throwing himself out into the mists like some insane diver.",True
2711,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier walked over, and retrieved his coin pouch with a tug of Ironpulling.",True
2715,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He kept his pewter burning—without the strength it lent his body, he’d probably collapse from the pain of his wounds—and dashed off into the night, heading toward Clubs’s shop.",True
3228,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The Thug grumbled a bit, pulling out a golden ten-boxing coin and flipping it across the room to the self-satisfied Breeze.",True
3431,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He immediately burned iron, and the translucent blue lines shot out from his body, connecting him to nearby sources of metal.",True
3579,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,“Pewter burns relatively quickly.,True
